GLORIA_ID,Organization_ID,Dataset_ID,Sample_ID,LIMNADES_ID,LIMNADES_UID,SeaBASS_ID,Data_collection_purpose,Special_event_flag,Site_name,Country,Country_code,Latitude,Longitude,Date_Time_UTC,Water_body_type,Water_type,Elevation_asl,Wave_height,Wind_speed,Cloud_fraction,Depth,Platform,Distance_from_platform,Platform_length,Platform_height,Distance_to_shore,Landcover,Topography,Distance_to_river_discharge,Optical_stability_of_water,Rain_event_hour,Instrument_manufacturer,Instrument_model,Last_calibration,Measurement_method,Lt_nadir,Lt_relative_azimuth,Lsky_zenith,Lsky_relative_azimuth,Spectral_resolution,Number_of_radiometers,Field_of_view_Lt_radiometer,Field_of_view_Lu_radiometer,Skyglint_removal,Bias_removal_in_NIR,Self_shading_correction,Viewing_angle_correction,Additional_data_corrections,Availability_of_IOPs,Sample_depth,Water_collection_equipment,Chl_method,Phaeophytin_correction,TSS_method,aCDOM_method,Chla,Chla_plus_phaeo,TSS,aCDOM440,Turbidity,Secchi_depth,AOT,Comments
GID_11,UT-TO,AlikasK_EE_UT-TO,63,,,,3,NaN,"Lake Peipsi",Estonia,EE,58.47593,27.35226,2013-07-09T09:17,1,4,28,0.3,5,0.2,7.1,1,0.2,6,2,6.1,"9",3,6.6,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2012-08-05,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,0,0.3,"1",UT-TO Chl - SP,0,ESS Method 340.2,NASA TM 2003-211621,NaN,4.51,3.33,2.30258509299404,NaN,1.5,NaN,Lake Peipsi
GID_12,UT-TO,AlikasK_EE_UT-TO,64,,,,3,NaN,"Lake Peipsi",Estonia,EE,58.52217,27.40825,2013-07-09T09:58,1,4,28,0.3,6.5,0.15,7.2,1,0.2,6,2,9.8,"2",3,13,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2012-08-05,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,0,0.3,"1",UT-TO Chl - SP,0,ESS Method 340.2,NASA TM 2003-211621,NaN,5.71,5.33,2.3946884967138,NaN,1.6,NaN,Lake Peipsi
GID_13,UT-TO,AlikasK_EE_UT-TO,65,,,,3,NaN,"Lake Peipsi",Estonia,EE,58.45684,27.44887,2013-07-09T10:42,1,4,28,0.2,4.5,0.1,8.4,1,0.2,6,2,7.6,"9",3,12,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2012-08-05,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,0,0.3,"1",UT-TO Chl - SP,0,ESS Method 340.2,NASA TM 2003-211621,NaN,8.44,6.33,2.48679190043356,NaN,1.4,NaN,Lake Peipsi
GID_14,UT-TO,AlikasK_EE_UT-TO,66,,,,3,NaN,"Lake Peipsi",Estonia,EE,58.41248,27.47408,2013-07-09T11:15,1,4,28,0.3,5,0.15,5.8,1,0.2,6,2,2.6,"9",3,13.5,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2012-08-05,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,0,0.3,"1",UT-TO Chl - SP,0,ESS Method 340.2,NASA TM 2003-211621,NaN,12.6,9.33,2.48679190043356,NaN,1,NaN,Lake Peipsi
GID_15,UT-TO,AlikasK_EE_UT-TO,67,,,,3,NaN,"Lake Peipsi",Estonia,EE,58.42062,27.36225,2013-07-09T11:58,1,4,28,0.3,5,0.2,5.5,1,0.2,6,2,2.7,"9",3,7.2,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2012-08-05,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,0,0.3,"1",UT-TO Chl - SP,0,ESS Method 340.2,NASA TM 2003-211621,NaN,8.1,8,2.57889530415333,NaN,1,NaN,Lake Peipsi
GID_16,UT-TO,AlikasK_EE_UT-TO,68,,,,3,NaN,"Lake Peipsi",Estonia,EE,58.44098,27.25025,2013-07-09T12:48,1,4,28,0.2,4,0.4,3.1,1,0.2,6,2,0.34,"9",3,0.34,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2012-08-05,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,0,0.3,"1",UT-TO Chl - SP,0,ESS Method 340.2,NASA TM 2003-211621,NaN,7.47,10.67,3.08546402461202,NaN,0.8,NaN,Lake Peipsi
GID_17,UT-TO,AlikasK_EE_UT-TO,43,,,,3,NaN,"Lake Peipsi",Estonia,EE,58.44541,27.28923,2013-07-14T08:21,1,4,28,0.2,3.5,0.1,4.9,1,0.2,6,2,2.4,"9",3,2.7,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2012-08-05,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,0,0.3,"1",UT-TO Chl - SP,0,ESS Method 340.2,NASA TM 2003-211621,NaN,12.69,9.25,2.3946884967138,NaN,1.05,NaN,Lake Peipsi
GID_18,UT-TO,AlikasK_EE_UT-TO,44,,,,3,NaN,"Lake Peipsi",Estonia,EE,58.39981,27.27804,2013-07-14T09:04,1,4,28,0.2,3,0.1,NaN,1,0.2,6,2,0.8,"9",3,1.6,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2012-08-05,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,0,0.3,"1",UT-TO Chl - SP,0,ESS Method 340.2,NASA TM 2003-211621,NaN,23.06,15,3.45387763949106,NaN,0.6,NaN,Lake Peipsi
GID_19,UT-TO,AlikasK_EE_UT-TO,45,,,,3,NaN,"Lake Kalli",Estonia,EE,58.37779,27.23903,2013-07-14T09:36,1,4,30,0.1,4.5,0.3,1.6,1,0.2,6,2,0.3,"9",3,1,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2012-08-05,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,0,0.3,"1",UT-TO Chl - SP,0,ESS Method 340.2,NASA TM 2003-211621,NaN,13.17,3.6,25.1442292154949,NaN,0.45,NaN,Lake Kalli
GID_20,UT-TO,AlikasK_EE_UT-TO,47,,,,3,NaN,"Lake Peipsi",Estonia,EE,58.43617,27.23755,2013-07-14T10:48,1,4,31,0.1,3.5,0.1,NaN,1,0.2,6,2,0.03,"9",3,0,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2012-08-05,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,0,0.3,"1",UT-TO Chl - SP,0,ESS Method 340.2,NASA TM 2003-211621,NaN,14.18,11,2.76310211159285,NaN,0.8,NaN,Lake Peipsi
GID_21,UT-TO,AlikasK_EE_UT-TO,48,,,,3,NaN,"Lake Koosa",Estonia,EE,58.43445,27.15546,2013-07-14T11:22,1,4,29,,,0.3,1.5,1,0.2,6,2,0.3,"9",3,1.3,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2012-08-05,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,0,0.3,"1",UT-TO Chl - SP,0,ESS Method 340.2,NASA TM 2003-211621,NaN,16.06,6.8,14.2299758747032,NaN,0.65,NaN,Lake Koosa
GID_22,UT-TO,AlikasK_EE_UT-TO,80,,,,3,NaN,"Lake Peipsi",Estonia,EE,58.4438166666667,27.2887,2014-07-17T07:42,1,4,28,0.1,2,0.6,4.5,1,0.2,6,2,2.6,"9",3,2.6,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2012-08-05,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,0,0.3,"1",UT-TO Chl - SP,0,ESS Method 340.2,NASA TM 2003-211621,NaN,10.68,7.43,1.79601637253535,NaN,1,NaN,Lake Peipsi
GID_23,UT-TO,AlikasK_EE_UT-TO,81,,,,3,NaN,"Lake Peipsi",Estonia,EE,58.4999666666667,27.2844333333333,2014-07-17T08:14,1,4,28,0.05,1,0.55,5.4,1,0.2,6,2,2.4,"2",3,,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2012-08-05,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,0,0.3,"1",UT-TO Chl - SP,0,ESS Method 340.2,NASA TM 2003-211621,NaN,18.28,6,2.3946884967138,NaN,0.75,NaN,Lake Peipsi
GID_24,UT-TO,AlikasK_EE_UT-TO,82,,,,3,NaN,"Lake Peipsi",Estonia,EE,58.5420833333333,27.27455,2014-07-17T08:37,1,4,28,0.05,2,0.65,5.5,1,0.2,6,2,2.7,"2",3,,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2012-08-05,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,0,0.3,"1",UT-TO Chl - SP,0,ESS Method 340.2,NASA TM 2003-211621,NaN,17.22,5.14,2.48679190043356,NaN,0.85,NaN,Lake Peipsi
GID_25,UT-TO,AlikasK_EE_UT-TO,83,,,,3,NaN,"Lake Peipsi",Estonia,EE,58.5969666666667,27.3490666666667,2014-07-17T09:04,1,4,28,0.1,1,0.75,NaN,1,0.2,6,2,8.2,"2",3,,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2012-08-05,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,0,0.3,"1",UT-TO Chl - SP,0,ESS Method 340.2,NASA TM 2003-211621,NaN,5.8,2.67,1.28944765207666,NaN,1.3,NaN,Lake Peipsi
GID_26,UT-TO,AlikasK_EE_UT-TO,84,,,,3,NaN,"Lake Peipsi",Estonia,EE,58.7341666666667,27.35255,2014-07-17T09:52,1,4,28,0.15,2,0.45,9.8,1,0.2,6,2,12,"2",3,,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2012-08-05,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,0,0.3,"1",UT-TO Chl - SP,0,ESS Method 340.2,NASA TM 2003-211621,NaN,5.12,3.33,1.1973442483569,NaN,1.5,NaN,Lake Peipsi
GID_27,UT-TO,AlikasK_EE_UT-TO,85,,,,3,NaN,"Lake Peipsi",Estonia,EE,58.68905,27.2103833333333,2014-07-17T10:30,1,4,28,0.15,1,0.7,4.1,1,0.2,6,2,2.8,"4",3,,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2012-08-05,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,0,0.3,"1",UT-TO Chl - SP,0,ESS Method 340.2,NASA TM 2003-211621,NaN,7.5,4.29,1.33549935393654,NaN,1.1,NaN,Lake Peipsi
GID_28,UT-TO,AlikasK_EE_UT-TO,86,,,,3,NaN,"Lake Vortsjarv",Estonia,EE,58.2003666666667,26.0131,2014-07-18T07:39,1,4,33,0.15,4.5,0.5,1.6,1,0.2,6,2,0.9,"2",3,1,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2012-08-05,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,0,0.3,"1",UT-TO Chl - SP,0,ESS Method 340.2,NASA TM 2003-211621,NaN,23.69,12.5,1.98022317997487,NaN,0.55,NaN,Lake Võrtsjärv
GID_29,UT-TO,AlikasK_EE_UT-TO,87,,,,3,NaN,"Lake Vortsjarv",Estonia,EE,58.3171833333333,26.0438,2014-07-18T08:25,1,4,33,0.1,2,0.8,NaN,1,0.2,6,2,5.5,"2",3,,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2012-08-05,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,0,0.3,"1",UT-TO Chl - SP,0,ESS Method 340.2,NASA TM 2003-211621,NaN,20.05,12.5,1.15129254649702,NaN,0.6,NaN,Lake Võrtsjärv
GID_30,UT-TO,AlikasK_EE_UT-TO,88,,,,3,NaN,"Lake Vortsjarv",Estonia,EE,58.2647833333333,26.0513166666667,2014-07-18T08:53,1,4,33,0.1,2,0.65,2.4,1,0.2,6,2,4,"2",3,8,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2012-08-05,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,0,0.3,"1",UT-TO Chl - SP,0,ESS Method 340.2,NASA TM 2003-211621,NaN,23.32,12.33,1.4276027576563,NaN,0.5,NaN,Lake Võrtsjärv
GID_31,UT-TO,AlikasK_EE_UT-TO,89,,,,3,NaN,"Lake Vortsjarv",Estonia,EE,58.2076666666667,26.1018333333333,2014-07-18T09:21,1,4,33,0.15,3,0.5,4.4,1,0.2,6,2,0.2,"4",3,,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2012-08-05,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,0,0.3,"1",UT-TO Chl - SP,0,ESS Method 340.2,NASA TM 2003-211621,NaN,19.32,13.5,1.38155105579642,NaN,0.5,NaN,Lake Võrtsjärv
GID_32,UT-TO,AlikasK_EE_UT-TO,72,,,,3,NaN,"Lake Saadjarv",Estonia,EE,58.53749,26.65644,2014-09-04T07:42,1,4,54,0.1,4,0.1,15.3,1,0.2,4,0.5,0.7,"2",3,,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2012-08-05,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,0,0.3,"1",UT-TO Chl - SP,0,ESS Method 340.2,NASA TM 2003-211621,NaN,4.85,2.17,1.01313744091738,NaN,4.6,NaN,Lake Saadjärv
GID_33,UT-TO,AlikasK_EE_UT-TO,73,,,,3,NaN,"Lake Saadjarv",Estonia,EE,58.54547,26.6344,2014-09-04T08:11,1,4,54,0.1,2,0.1,11,1,0.2,4,0.5,0.25,"2",3,,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2012-08-05,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,0,0.3,"1",UT-TO Chl - SP,0,ESS Method 340.2,NASA TM 2003-211621,NaN,5.55,2.33,0.921034037197618,NaN,4.6,NaN,Lake Saadjärv
GID_34,UT-TO,AlikasK_EE_UT-TO,75,,,,3,NaN,"Lake Saadjarv",Estonia,EE,58.53307,26.67547,2014-09-04T08:57,1,4,54,0.1,2,0.1,14.7,1,0.2,4,0.5,0.7,"2",3,,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2012-08-05,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,0,0.3,"1",UT-TO Chl - SP,0,ESS Method 340.2,NASA TM 2003-211621,NaN,4.39,2.17,0.874982335337737,NaN,4.45,NaN,Lake Saadjärv
GID_35,UT-TO,AlikasK_EE_UT-TO,76,,,,3,NaN,"Lake Raigastvere",Estonia,EE,58.59184,26.65193,2014-09-04T10:16,1,2,53,0.08,3.5,0.8,3.9,1,0.2,3,0.5,0.1,"2",3,,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2012-08-05,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,0,0.3,"1",UT-TO Chl - SP,0,ESS Method 340.2,NASA TM 2003-211621,NaN,40.96,8.75,3.45387763949106,NaN,1.4,NaN,Lake Raigastvere
GID_36,UT-TO,AlikasK_EE_UT-TO,77,,,,3,NaN,"Lake Kaiavere",Estonia,EE,58.5949,26.69183,2014-09-04T12:00,1,4,52,0.1,2,0.7,3.6,1,0.2,3,0.5,0.1,"2",3,,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2012-08-05,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,0,0.3,"1",UT-TO Chl - SP,0,ESS Method 340.2,NASA TM 2003-211621,NaN,38.74,10.67,3.54598104321083,NaN,0.9,NaN,Lake Kaiavere
GID_37,UT-TO,AlikasK_EE_UT-TO,78,,,,3,NaN,"Lake Elistvere",Estonia,EE,58.57109,26.71132,2014-09-04T13:09,1,4,50,0.08,3.5,0.8,1.5,1,0.2,3,0.5,0.2,"2",3,,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2012-08-05,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,0,0.3,"1",UT-TO Chl - SP,0,ESS Method 340.2,NASA TM 2003-211621,NaN,12.82,3.75,3.08546402461202,NaN,1.8,NaN,Lake Elistvere
GID_38,UT-TO,AlikasK_EE_UT-TO,79,,,,3,NaN,"Lake Soitsjärv",Estonia,EE,58.55788,26.68229,2014-09-04T14:57,1,4,54,0.08,3.5,0.7,1,1,0.2,3,0.5,0.25,"2",3,,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2012-08-05,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,0,0.3,"1",UT-TO Chl - SP,0,ESS Method 340.2,NASA TM 2003-211621,NaN,8.63,2.75,1.65786126695571,NaN,NaN,NaN,Lake Soitsjärv
GID_39,UT-TO,AlikasK_EE_UT-TO,133,,,,3,NaN,"Lake Raigastvere",Estonia,EE,58.59241,26.6508,2015-06-12T08:42,1,4,52,0.1,4.5,0.1,3.5,1,0.2,3,0.5,0.1,"2",3,,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2015-05-25,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,0,0.3,"1",UT-TO Chl - SP,0,ESS Method 340.2,NASA TM 2003-211621,NaN,9.3,8,3.31572253391142,NaN,0.8,NaN,Lake Raigastvere
GID_40,UT-TO,AlikasK_EE_UT-TO,376,,,,3,NaN,"Lake Vanern",Sweden,SE,58.7345,13.3826,2015-08-30T09:00,1,2,44,0.5,5.5,0.25,15.4,1,0.2,10,4,8,,3,,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2015-08-26,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,0,0.3,"1",,NaN,,,NaN,NaN,NaN,NaN,NaN,3,NaN,Lake Vänern
GID_41,UT-TO,AlikasK_EE_UT-TO,377,,,,3,NaN,"Lake Vanern",Sweden,SE,58.79015,13.37668,2015-08-30T10:12,1,2,44,0.5,5,0.15,37.5,1,0.2,10,4,5,,3,,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2015-08-26,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,0,0.3,"1",,NaN,,,NaN,NaN,NaN,NaN,NaN,3.75,NaN,Lake Vänern
GID_42,UT-TO,AlikasK_EE_UT-TO,378,,,,3,NaN,"Lake Vanern",Sweden,SE,58.73823,13.44815,2015-08-30T11:29,1,2,44,0.5,4,0.15,28,1,0.2,10,4,8,,3,,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2015-08-26,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,0,0.3,"1",,NaN,,,NaN,NaN,NaN,NaN,NaN,4.4,NaN,Lake Vänern
GID_43,UT-TO,AlikasK_EE_UT-TO,379,,,,3,NaN,"Lake Vanern",Sweden,SE,58.68359,13.31834,2015-08-30T13:24,1,2,44,0.25,5,0.35,43,1,0.2,10,4,4.3,,3,,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2015-08-26,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,0,0.3,"1",,NaN,,,NaN,NaN,NaN,NaN,NaN,4.1,NaN,Lake Vänern
GID_44,UT-TO,AlikasK_EE_UT-TO,380,,,,3,NaN,"Lake Vanern",Sweden,SE,58.75777,13.14579,2015-08-31T08:50,1,2,44,0.2,0.5,1,27.3,1,0.2,10,4,3.8,,3,,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2015-08-26,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,0,0.3,"1",,NaN,,,NaN,NaN,NaN,NaN,NaN,3.8,NaN,Lake Vänern
GID_45,UT-TO,AlikasK_EE_UT-TO,381,,,,3,NaN,"Lake Vanern",Sweden,SE,58.69007,13.22261,2015-08-31T10:32,1,2,44,0.05,1.5,1,4.1,1,0.2,10,4,0.2,,3,,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2015-08-26,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,0,0.3,"1",,NaN,,,NaN,NaN,NaN,NaN,NaN,3.25,NaN,Lake Vänern
GID_46,UT-TO,AlikasK_EE_UT-TO,382,,,,3,NaN,"Lake Vanern",Sweden,SE,58.61748,13.19748,2015-08-31T12:28,1,2,44,0.1,2.5,1,8,1,0.2,10,4,0.3,,3,,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2015-08-26,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,0,0.3,"1",,NaN,,,NaN,NaN,NaN,NaN,NaN,2.7,NaN,Lake Vänern
GID_47,UT-TO,AlikasK_EE_UT-TO,383,,,,3,NaN,"Lake Vanern",Sweden,SE,58.56424,13.21072,2015-08-31T13:36,1,2,44,0.15,2.5,1,12.3,1,0.2,10,4,2.1,,3,,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2015-08-26,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,0,0.3,"1",,NaN,,,NaN,NaN,NaN,NaN,NaN,3.3,NaN,Lake Vänern
GID_48,UT-TO,AlikasK_EE_UT-TO,384,,,,3,NaN,"Lake Vanern",Sweden,SE,58.51827,13.17257,2015-08-31T14:24,1,2,44,0.3,3.5,1,6.6,1,0.2,10,4,0.5,,3,,2,NaN,3,"RAMSES 2xARC-VIS, ACC-VIS",2015-08-26,7,40,135,40,135,10,3,7,NaN,2,0,0,1,,0,0.3,"1",,NaN,,,NaN,NaN,NaN,NaN,NaN,2.5,NaN,Lake Vänern
